RUN,val_accuracy,EPOCHS,AUC,NEURONS,BATCH_SIZE,loss,val_AUC,LR,val_loss,accuracy
2,0.7618138,400,0.5,[2048; 2048; 2048; 2048],32,3.781445848633767,0.5,0.001,3.6740092028296933,0.7548487
2,0.7618138,450,0.5,[2048; 2048; 2048; 2048],32,3.7814458577965984,0.5,0.001,3.674009199301781,0.7548487
2,0.7618138,500,0.5,[2048; 2048; 2048; 2048],32,3.7814458547802623,0.5,0.001,3.6740091995293884,0.7548487
2,0.7618138,550,0.5,[2048; 2048; 2048; 2048],32,3.781445858764102,0.5,0.001,3.6740092039677292,0.7548487
2,0.7618138,600,0.5,[2048; 2048; 2048; 2048],32,3.7814458563168865,0.5,0.001,3.6740092078370523,0.7548487
3,0.77159905,0,0.5167468,[512; 512; 512; 512; 512],32,0.6929024387502923,0.65362763,0.001,0.5853932413963828,0.7182073
3,0.7928401,50,0.7409591,[512; 512; 512; 512; 512],32,0.4994403428761609,0.76238024,0.001,0.48813516908727567,0.78074837
3,0.79116946,100,0.74228066,[512; 512; 512; 512; 512],32,0.49657414255730115,0.7559917,0.001,0.48220196832904955,0.7861192
3,0.7868735,150,0.68618923,[512; 512; 512; 512; 512],32,0.5148704071552719,0.6871051,0.001,0.49512301740327713,0.782658
3,0.77303106,200,0.52259356,[512; 512; 512; 512; 512],32,0.5805991516233081,0.5036573,0.001,0.5355162512573252,0.75902605
3,0.77159905,250,0.5032294,[512; 512; 512; 512; 512],32,0.5748467321269813,0.5,0.001,0.5384287256329612,0.7520439
3,0.77159905,300,0.50137365,[512; 512; 512; 512; 512],32,0.589503935874202,0.5,0.001,0.538349651152308,0.7523423
3,0.77159905,350,0.5032783,[512; 512; 512; 512; 512],32,0.6083606169656601,0.5,0.001,0.5382981409036459,0.75198424
3,0.77159905,400,0.5082144,[512; 512; 512; 512; 512],32,0.9289841482105335,0.5,0.001,0.5389668131500553,0.75144714
3,0.77159905,450,0.50452805,[512; 512; 512; 512; 512],32,0.8221708767424195,0.49947754,0.001,0.5418983885240442,0.7523423
3,0.77159905,500,0.5088245,[512; 512; 512; 512; 512],32,0.7114042599965104,0.49947754,0.001,0.5418517959146341,0.7512084
3,0.77159905,550,0.4988431,[512; 512; 512; 512; 512],32,0.8743394434348903,0.5,0.001,0.5382670532547489,0.7522826
3,0.77159905,600,0.50588715,[512; 512; 512; 512; 512],32,2.39256593120648,0.5,0.001,3.5230729622032877,0.7522826
4,0.7455847,0,0.5372727,[1024; 1024; 1024; 1024; 1024],32,0.7734552313058283,0.68010545,0.001,0.5436531156230371,0.732649
4,0.7572792,50,0.5005986,[1024; 1024; 1024; 1024; 1024],32,0.5648674830983744,0.5,0.001,0.5542104523051041,0.75586325
4,0.7572792,100,0.4962729,[1024; 1024; 1024; 1024; 1024],32,0.5605494750529917,0.5,0.001,0.5542146718587397,0.7559826
4,0.7572792,150,0.4948468,[1024; 1024; 1024; 1024; 1024],32,2.1602423905600667,0.5,0.001,3.7439552539288288,0.7559826
4,0.7572792,200,0.4901703,[1024; 1024; 1024; 1024; 1024],32,3.004515785031866,0.5,0.001,3.7439552616674745,0.7559826
4,0.7572792,250,0.5020302,[1024; 1024; 1024; 1024; 1024],32,3.3511038204718298,0.5,0.001,3.7439552572291337,0.7559826
4,0.7572792,300,0.50002706,[1024; 1024; 1024; 1024; 1024],32,3.3669423226660813,0.5,0.001,3.7439552715683893,0.7559229
4,0.7572792,350,0.50051445,[1024; 1024; 1024; 1024; 1024],32,3.366694193449212,0.5,0.001,3.743955272820229,0.7559826
4,0.7572792,400,0.5039921,[1024; 1024; 1024; 1024; 1024],32,3.3337701061157947,0.5,0.001,3.7439552618950818,0.7559826
4,0.7572792,450,0.5022848,[1024; 1024; 1024; 1024; 1024],32,3.347933166627633,0.5,0.001,3.7439552737306583,0.7559826
4,0.7572792,500,0.498229,[1024; 1024; 1024; 1024; 1024],32,3.569469157783102,0.5,0.001,3.7439552671300484,0.7559826
4,0.7572792,550,0.5008469,[1024; 1024; 1024; 1024; 1024],32,3.361845386649342,0.5,0.001,3.743955258480973,0.7559826
4,0.7572792,600,0.50165135,[1024; 1024; 1024; 1024; 1024],32,3.3583082061768033,0.5,0.001,3.7439552662196194,0.7559826
5,0.7594272,0,0.5004338,[2048; 2048; 2048; 2048; 2048],32,3.7641118975238284,0.5,0.001,3.710822916030884,0.75520676
5,0.7594272,50,0.5,[2048; 2048; 2048; 2048; 2048],32,3.7722407774274442,0.5,0.001,3.710822938564,0.7554455
5,0.7594272,100,0.5,[2048; 2048; 2048; 2048; 2048],32,3.7722407809844443,0.5,0.001,3.7108229257041914,0.7554455
5,0.7594272,150,0.5,[2048; 2048; 2048; 2048; 2048],32,3.7722407773705324,0.5,0.001,3.710822915006651,0.7554455
5,0.7594272,200,0.5,[2048; 2048; 2048; 2048; 2048],32,3.772240781098268,0.5,0.001,3.7108229084060413,0.7554455
5,0.7594272,250,0.5,[2048; 2048; 2048; 2048; 2048],32,3.7722407838585,0.5,0.001,3.710822917055116,0.7554455
5,0.7594272,300,0.5,[2048; 2048; 2048; 2048; 2048],32,3.772240786319944,0.5,0.001,3.710822927297442,0.7554455
