mean_fit_time,mean_score_time,mean_test_score,param_C,param_gamma,param_kernel,param_probability,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
276.87518444061277,3.733758735656738,-0.5986905310585889,4,1e-07,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-07, 'probability': True, 'C': 4}",77,-0.665923020295231,-0.637526507546499,-0.5721068738893678,-0.5664941772785247,-0.5513699767420297,17.887264955695446,0.05051367059722872,0.04474857238519226
225.69841027259827,3.6552484035491943,-0.7268840747887038,4,1e-08,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-08, 'probability': True, 'C': 4}",86,-0.8772919853641389,-0.8361655490549508,-0.7127430356413658,-0.6146458497257831,-0.5935021432665781,12.248886548988281,0.09234461731586127,0.11415575949406986
219.35395126342775,3.6943395137786865,-0.7904682639969862,4,1e-09,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-09, 'probability': True, 'C': 4}",89,-0.6464070069997672,-1.3732138064440225,-0.5519016440704647,-0.7335763971397874,-0.6473112460694892,9.432143109627166,0.08461113076946594,0.29697086179155463
1542.7292130470275,5.5743523120880125,-0.5379783732688931,8,auto,rbf,True,"{'kernel': 'rbf', 'gamma': 'auto', 'probability': True, 'C': 8}",32,-0.6406735673395293,-0.6240402480442224,-0.5000689301290312,-0.45300931974031095,-0.47205077020377506,88.11995279832833,0.36574286265443673,0.0786871565609797
1506.7954218387604,7.9483339309692385,-0.5356131692113255,8,0.1,rbf,True,"{'kernel': 'rbf', 'gamma': 0.1, 'probability': True, 'C': 8}",20,-0.5905300458225252,-0.5900425067013501,-0.5159723991957987,-0.48260583944022717,-0.4988888353328153,102.53279362374134,0.18044229852776283,0.04587606072809383
696.6895105838776,4.529733657836914,-0.533033565095578,8,0.01,rbf,True,"{'kernel': 'rbf', 'gamma': 0.01, 'probability': True, 'C': 8}",16,-0.6847868052257003,-0.6581221730517294,-0.4786398095410529,-0.4050692114863227,-0.4384773729670061,57.429924082872255,0.2348434811660207,0.11571969340870845
303.99143834114074,3.8594675064086914,-0.5289093927852373,8,0.001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.001, 'probability': True, 'C': 8}",11,-0.672641330979037,-0.6475707194173106,-0.4692418489079129,-0.4129789587965688,-0.4420454823170285,19.514552517243903,0.2372023107729748,0.1088935284989021
329.42447276115416,3.86247878074646,-0.5460486573314445,8,0.0001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.0001, 'probability': True, 'C': 8}",48,-0.7048358044618926,-0.6607368500373085,-0.47653871451230795,-0.425993091992937,-0.46206301417169265,40.7584889425442,0.16786616987942615,0.11372876625856505
313.2903971672058,3.90152907371521,-0.551187463003769,8,1e-05,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-05, 'probability': True, 'C': 8}",56,-0.7247037380000836,-0.6885343922690312,-0.4622901493670044,-0.4452551810993567,-0.43507101051397407,13.634936345403846,0.08772669031004822,0.12773885247940267
302.5721797943115,3.887398433685303,-0.5854522165400106,8,1e-06,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-06, 'probability': True, 'C': 8}",72,-0.7321386153509278,-0.6974123262629084,-0.4837986811879803,-0.5588435035642246,-0.45499792224529834,6.380707243252033,0.09564924435971374,0.11145949507887035
279.38324189186096,3.80776686668396,-0.5989149979457205,8,1e-07,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-07, 'probability': True, 'C': 8}",78,-0.6877994484277262,-0.6402403017961054,-0.5575691704564256,-0.5711857352120405,-0.5377378967627869,17.341263810230593,0.09252866182157606,0.05626990975817287
237.40739178657532,3.7640281677246095,-0.6998263733231492,8,1e-08,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-08, 'probability': True, 'C': 8}",85,-0.8191580552529208,-0.779556968179536,-0.6884252209202574,-0.5821204202699704,-0.6298142281654514,11.797029733368282,0.20727795933148427,0.0888666692229752
219.88961448669434,3.7111357688903808,-0.7361297351358126,8,1e-09,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-09, 'probability': True, 'C': 8}",87,-0.7116871930451322,-1.0578036570947573,-0.5874943894123962,-0.7698779058342764,-0.5537972001622024,10.945923888639776,0.10447684988977164,0.1791831825236989
1647.313476896286,5.517016506195068,-0.5418266659839155,16,auto,rbf,True,"{'kernel': 'rbf', 'gamma': 'auto', 'probability': True, 'C': 16}",39,-0.6393476568709132,-0.6234045716799546,-0.5051683061333628,-0.4631697134578716,-0.47799652126618986,257.8774655486899,0.12026769922338922,0.07452815034794298
1570.1314861774445,7.938751888275147,-0.5356974607529331,16,0.1,rbf,True,"{'kernel': 'rbf', 'gamma': 0.1, 'probability': True, 'C': 16}",21,-0.5901077229736109,-0.5907854394080183,-0.5159876839366252,-0.482957409722846,-0.4986230700380932,126.95071707536798,0.13385732312146945,0.04591310871562346
998.6526274681091,4.484256362915039,-0.5387299913351951,16,0.01,rbf,True,"{'kernel': 'rbf', 'gamma': 0.01, 'probability': True, 'C': 16}",34,-0.6757528163507672,-0.6553485349772629,-0.4894220287436075,-0.42584219175536314,-0.44721896454579196,86.48919185556063,0.31440630010684667,0.10576196046285136
297.1812479496002,3.7694843769073487,-0.523329350708086,16,0.001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.001, 'probability': True, 'C': 16}",5,-0.6729765872281963,-0.655960808919603,-0.46409402964357127,-0.3907808166234963,-0.4327630634117794,24.841635447991383,0.13587121541548952,0.11770273248143971
316.01010875701905,3.780706548690796,-0.5474318959162188,16,0.0001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.0001, 'probability': True, 'C': 16}",51,-0.7067241168448004,-0.6630344268493843,-0.4780845995723588,-0.42447012646354637,-0.46477015722702264,44.2519098440576,0.05982935587911411,0.11445997003690236
332.5286482334137,3.8480464935302736,-0.5422904124823078,16,1e-05,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-05, 'probability': True, 'C': 16}",42,-0.7192461899555509,-0.6874319673348609,-0.4605173186673484,-0.411562851606407,-0.43260924891876196,21.31448226412318,0.14642535795534742,0.1328099685632708
318.12761359214784,3.8575963497161867,-0.5756869976512888,16,1e-06,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-06, 'probability': True, 'C': 16}",68,-0.7225805005163585,-0.693860035653645,-0.47392218560696336,-0.5462969474395892,-0.4417051860712251,20.99200421640722,0.14356561647350052,0.11376965171404635
287.01884751319886,3.815270519256592,-0.6021867554286362,16,1e-07,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-07, 'probability': True, 'C': 16}",79,-0.7088086198791059,-0.6877008537712896,-0.5231583450598987,-0.5656336361648057,-0.5255814166273796,3.739814196113913,0.03508342920005709,0.08016637750329407
228.20122656822204,3.8013895034790037,-0.6411899060391045,16,1e-08,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-08, 'probability': True, 'C': 16}",83,-0.671033036446713,-0.69056905552602,-0.6350541095086596,-0.6289010798024381,-0.580378000580153,4.554816193614029,0.03345209356766453,0.03798789323146499
221.16880402565002,3.668695592880249,-0.7582484851578459,16,1e-09,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-09, 'probability': True, 'C': 16}",88,-0.6615802780567878,-1.1835084255414707,-0.5831446052273507,-0.6198754693512034,-0.7431798009698306,5.071913335097374,0.03572610201188315,0.21918385397994086
1720.7574263095855,5.586274528503418,-0.5414635468788754,32,auto,rbf,True,"{'kernel': 'rbf', 'gamma': 'auto', 'probability': True, 'C': 32}",38,-0.6367684999800989,-0.6217695170705767,-0.5053331580190288,-0.4638821863809218,-0.47951887045957725,164.6008997428035,0.3862208068724022,0.07306885231669093
