-0.548 (+/-0.278) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 128}
-0.544 (+/-0.269) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 128}
-0.546 (+/-0.277) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 128}
-0.543 (+/-0.273) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 128}
-0.543 (+/-0.268) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 128}
-0.543 (+/-0.274) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 128}
-0.541 (+/-0.268) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 128}
-0.630 (+/-0.451) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 128}
-0.558 (+/-0.299) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 128}
-0.547 (+/-0.278) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 128}
-0.546 (+/-0.277) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 128}
-0.547 (+/-0.286) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 128}
-0.546 (+/-0.277) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 128}
-0.546 (+/-0.276) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 128}
-0.544 (+/-0.273) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 128}
-0.543 (+/-0.269) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 128}
-0.542 (+/-0.269) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 128}
-0.614 (+/-0.440) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 128}
-0.557 (+/-0.291) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 128}
-0.546 (+/-0.269) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 128}
-0.543 (+/-0.259) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 128}
-0.544 (+/-0.269) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 128}
-0.545 (+/-0.263) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 128}
-0.544 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 128}
-0.544 (+/-0.262) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 128}
-0.540 (+/-0.258) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 128}
-0.544 (+/-0.264) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 128}
-0.604 (+/-0.418) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 256}
-0.556 (+/-0.304) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 256}
-0.551 (+/-0.289) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 256}
-0.550 (+/-0.285) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 256}
-0.545 (+/-0.274) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 256}
-0.543 (+/-0.271) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 256}
-0.542 (+/-0.273) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 256}
-0.542 (+/-0.268) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 256}
-0.543 (+/-0.272) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 256}
-0.543 (+/-0.272) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 256}
-0.623 (+/-0.465) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 256}
-0.560 (+/-0.310) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 256}
-0.553 (+/-0.290) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 256}
-0.548 (+/-0.285) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 256}
-0.544 (+/-0.278) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 256}
-0.546 (+/-0.281) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 256}
-0.542 (+/-0.272) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 256}
-0.543 (+/-0.273) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 256}
-0.544 (+/-0.271) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 256}
-0.542 (+/-0.272) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 256}
-0.617 (+/-0.445) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 256}
-0.561 (+/-0.302) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 256}
-0.550 (+/-0.282) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 256}
-0.547 (+/-0.269) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 256}
-0.543 (+/-0.266) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 256}
-0.543 (+/-0.259) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 256}
-0.543 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 256}
-0.544 (+/-0.263) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 256}
-0.542 (+/-0.260) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 256}
-0.543 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 256}
-0.639 (+/-0.528) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 512}
-0.560 (+/-0.306) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 512}
-0.550 (+/-0.290) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 512}
