RUN,BATCH_SIZE,LR,val_loss,val_accuracy,val_AUC,accuracy,NEURONS,AUC,loss,EPOCHS
6,512,0.0001,0.4390135222232427,0.8143198,0.8193612,0.8416184,[2048; 2048],0.8634742,0.36871462120441845,200
6,512,0.0001,0.4459763062455489,0.81288785,0.82095987,0.86596644,[2048; 2048],0.8979805,0.3235961919739472,250
6,512,0.0001,0.4496130586523998,0.8181384,0.8175245,0.8822582,[2048; 2048],0.9255634,0.2835002914493477,300
6,512,0.0001,0.46655792515716005,0.82147974,0.8160453,0.8990273,[2048; 2048],0.9415462,0.25117426009958427,350
6,512,0.0001,0.48336640523839963,0.8236277,0.816267,0.90953034,[2048; 2048],0.9563448,0.21849999963052733,400
6,512,0.0001,0.5152313279081359,0.8190931,0.8163698,0.9264188,[2048; 2048],0.9683141,0.18844882939463264,450
6,512,0.0001,0.5435275491780484,0.8221957,0.8159441,0.92958164,[2048; 2048],0.97312945,0.17260390568559947,500
6,512,0.0001,0.552677478909777,0.82386637,0.81665564,0.94008476,[2048; 2048],0.97985476,0.15195463917104157,550
6,512,0.0001,0.5823331940999179,0.81599045,0.81453925,0.9433073,[2048; 2048],0.9822435,0.14317859154548737,600
7,512,0.00030000000000000003,0.743686364231929,0.67207634,0.61706126,0.6979173,[2048; 2048],0.5071198,2.248873599148838,0
7,512,0.00030000000000000003,0.4509394422066809,0.8050119,0.8025527,0.81613654,[2048; 2048],0.81508654,0.4235131009588835,50
7,512,0.00030000000000000003,0.4366096226156185,0.8195704,0.8103967,0.8501522,[2048; 2048],0.87919563,0.35129073350606105,100
7,512,0.00030000000000000003,0.44648746479667173,0.824105,0.8168763,0.8893,[2048; 2048],0.9358329,0.26352655965679905,150
7,512,0.00030000000000000003,0.49304065266201774,0.81789976,0.81092083,0.91872054,[2048; 2048],0.96206164,0.20383350474919668,200
7,512,0.00030000000000000003,0.5358707053280104,0.8252983,0.8094106,0.9371606,[2048; 2048],0.9773008,0.16038890544452053,250
7,512,0.00030000000000000003,0.5705545033930595,0.8267303,0.8090659,0.94294924,[2048; 2048],0.98245895,0.14095230451872007,300
7,512,0.00030000000000000003,0.6145270813336521,0.8281623,0.8095448,0.9488572,[2048; 2048],0.9876639,0.11937967980541847,350
7,512,0.00030000000000000003,0.6384152685258724,0.8288783,0.80702907,0.95500386,[2048; 2048],0.9889257,0.1127353398358437,400
7,512,0.00030000000000000003,0.6692926533751385,0.82792366,0.8097444,0.96365696,[2048; 2048],0.99077916,0.09900941639941213,450
7,512,0.00030000000000000003,0.6863426647778058,0.83365154,0.80850905,0.9635973,[2048; 2048],0.99185896,0.09499075430962083,500
7,512,0.00030000000000000003,0.6982095624211295,0.83460623,0.80651677,0.96580535,[2048; 2048],0.99336964,0.08614937524524276,550
7,512,0.00030000000000000003,0.7370693196260275,0.83054894,0.8054436,0.9673569,[2048; 2048],0.9932335,0.08405529076413913,600
8,512,0.001,0.6377940280625245,0.7558473,0.5336853,0.72125083,[1024; 1024; 1024; 1024; 1024],0.48704484,1.3147830305658932,0
8,512,0.001,0.4415965553115262,0.8167064,0.8130638,0.8159575,[1024; 1024; 1024; 1024; 1024],0.8232271,0.4184757373267102,50
