RUN,val_AUC,BATCH_SIZE,loss,EPOCHS,val_loss,accuracy,val_accuracy,AUC,LR,NEURONS
2,0.74901736,1024,0.4815360812058261,1000,0.5214498622605226,0.78092736,0.7782816,0.74502105,1e-05,[512; 1024; 1024]
3,0.4921432,1024,1.1540555077001204,0,0.5853024247864834,0.60607505,0.7532219,0.49541652,1e-05,[512; 1024; 2048]
3,0.6731868,1024,0.6758370593260444,50,0.5637560437857962,0.7063317,0.7548926,0.5256216,1e-05,[512; 1024; 2048]
3,0.682755,1024,0.6094756355367882,100,0.5911611470231577,0.73056036,0.7587112,0.54337764,1e-05,[512; 1024; 2048]
3,0.69179183,1024,0.5755070797930528,150,0.601269114188192,0.74004894,0.75799525,0.579028,1e-05,[512; 1024; 2048]
3,0.7090541,1024,0.5554991301235609,200,0.6046035419500528,0.75073105,0.7618138,0.60215074,1e-05,[512; 1024; 2048]
3,0.7205301,1024,0.5437804565848275,250,0.601026463793115,0.75681806,0.7653938,0.6254742,1e-05,[512; 1024; 2048]
3,0.730781,1024,0.5339106626596557,300,0.5943099454365368,0.7581309,0.76658714,0.6435529,1e-05,[512; 1024; 2048]
3,0.7391323,1024,0.5331371967601998,350,0.5891350670475379,0.75872767,0.7680191,0.6467671,1e-05,[512; 1024; 2048]
3,0.74541014,1024,0.5221827737918124,400,0.5801160127849169,0.76117444,0.76968974,0.6715793,1e-05,[512; 1024; 2048]
3,0.7523162,1024,0.5192396381383382,450,0.5741781334888395,0.7626067,0.77303106,0.67541593,1e-05,[512; 1024; 2048]
3,0.7567992,1024,0.5149312115458278,500,0.5694924872928702,0.7649937,0.7778043,0.6838585,1e-05,[512; 1024; 2048]
3,0.7608733,1024,0.5128915466342855,550,0.5652402201529619,0.7660679,0.7825776,0.68702304,1e-05,[512; 1024; 2048]
3,0.76513696,1024,0.505494166371674,600,0.5595802894071065,0.76875335,0.78424823,0.7029288,1e-05,[512; 1024; 2048]
3,0.76855266,1024,0.5004909036124942,650,0.5539861662575624,0.7694695,0.7835322,0.7118832,1e-05,[512; 1024; 2048]
3,0.77236056,1024,0.49756622045543947,700,0.5492620275811535,0.77388555,0.7861575,0.71398866,1e-05,[512; 1024; 2048]
3,0.77607363,1024,0.4919840693918441,750,0.546542269517812,0.7768097,0.7861575,0.7264413,1e-05,[512; 1024; 2048]
3,0.77983755,1024,0.48796531272409727,800,0.5395940918057517,0.7755565,0.78735083,0.73166966,1e-05,[512; 1024; 2048]
3,0.7829252,1024,0.4891392651325323,850,0.5341878052258549,0.7760339,0.7921241,0.73230666,1e-05,[512; 1024; 2048]
3,0.78645205,1024,0.48383859147097563,900,0.5287818940840928,0.77901775,0.7928401,0.74063045,1e-05,[512; 1024; 2048]
3,0.789693,1024,0.48171179655763935,950,0.5233720017219216,0.7822403,0.79331744,0.74318177,1e-05,[512; 1024; 2048]
3,0.79240274,1024,0.4808561625145298,1000,0.5202546408466622,0.7812854,0.7961814,0.7449709,1e-05,[512; 1024; 2048]
4,0.45211223,1024,1.5771812054140155,0,0.5712603362761705,0.5845915,0.75990456,0.48691198,1e-05,[512; 512; 512; 512]
4,0.551696,1024,0.7538194463049134,50,0.6314731119356178,0.6806111,0.7601432,0.50369686,1e-05,[512; 512; 512; 512]
4,0.5741556,1024,0.6524570643129955,100,0.6427060402094038,0.7081817,0.7601432,0.5025837,1e-05,[512; 512; 512; 512]
4,0.61004436,1024,0.6115425856705177,150,0.6433621732318031,0.72882974,0.76062053,0.50851554,1e-05,[512; 512; 512; 512]
4,0.62854177,1024,0.5889675287519711,200,0.6427026039945197,0.74195856,0.76062053,0.52101284,1e-05,[512; 512; 512; 512]
4,0.63999283,1024,0.5732734722553876,250,0.6416713234632851,0.7495972,0.75990456,0.54313874,1e-05,[512; 512; 512; 512]
4,0.65746105,1024,0.5655419997634826,300,0.6378851738351626,0.7494778,0.7582339,0.55757135,1e-05,[512; 512; 512; 512]
4,0.6728627,1024,0.5575743142990948,350,0.6339238400960026,0.7528794,0.76109785,0.57564765,1e-05,[512; 512; 512; 512]
