mean_fit_time,mean_score_time,mean_test_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
1.0600828647613525,0.24326705932617188,-194.59064411160747,4,auto,rbf,"{'C': 4, 'gamma': 'auto', 'kernel': 'rbf'}",46,-489.6707130401277,-109.03659164851187,-93.6414333727342,-136.57261567298343,-143.22342827867053,0.0930018946202622,0.0664213539248073,148.83885886526147
1.5162810802459716,0.31648783683776854,-432.79495427111533,4,0.1,rbf,"{'C': 4, 'gamma': 0.1, 'kernel': 'rbf'}",89,-901.7290606619475,-304.1256652511372,-279.11570510269206,-346.6858671454568,-331.0337222179296,0.07122496904721394,0.022914177799649597,235.92049148069177
1.4435668468475342,0.2743520259857178,-303.4465293812249,4,0.01,rbf,"{'C': 4, 'gamma': 0.01, 'kernel': 'rbf'}",59,-742.4872395015885,-181.47495705750887,-156.15824763549838,-212.03274575602663,-223.87660569489844,0.05741634985145279,0.02482139020998122,221.09259494175961
0.9387601375579834,0.19054980278015138,-96.37917189059247,4,0.001,rbf,"{'C': 4, 'gamma': 0.001, 'kernel': 'rbf'}",30,-164.091667261551,-76.52722376894397,-69.47744902971638,-95.14351984557136,-76.47048586123184,0.011607574691182477,0.0018856865631046106,34.95677587112349
1.0019643783569336,0.2096466064453125,-80.3571562544714,4,0.0001,rbf,"{'C': 4, 'gamma': 0.0001, 'kernel': 'rbf'}",17,-101.32271637892983,-70.42490012680157,-69.09091156783481,-90.79417322109042,-70.09564008694852,0.17278935964344164,0.039001225123963916,13.267137980275324
1.203837013244629,0.2697399616241455,-87.6139362098843,4,1e-05,rbf,"{'C': 4, 'gamma': 1e-05, 'kernel': 'rbf'}",25,-110.48363345860815,-71.67909150458692,-75.71251533256991,-96.30336149795149,-83.82842255091401,0.2554864303857396,0.06802073216801911,14.207760343965749
1.439901065826416,0.31062660217285154,-238.2925070817604,4,1e-06,rbf,"{'C': 4, 'gamma': 1e-06, 'kernel': 'rbf'}",55,-496.24819591808597,-159.02361484903787,-158.60183817823173,-198.08678713716688,-178.79537141165943,0.07826016003497724,0.01533365007382047,129.97517244319727
1.400823211669922,0.28031191825866697,-406.6989915672627,4,1e-07,rbf,"{'C': 4, 'gamma': 1e-07, 'kernel': 'rbf'}",67,-848.3486668506805,-284.5716233357547,-262.93662838579746,-326.22445706147977,-310.2035830922355,0.25278790990093025,0.04662007508761262,222.18182246419974
1.4312708377838135,0.294626522064209,-429.4777115455315,4,1e-08,rbf,"{'C': 4, 'gamma': 1e-08, 'kernel': 'rbf'}",76,-894.654503086861,-302.925664766631,-277.4924942544756,-343.7181820483398,-327.32325660822295,0.06535012867203278,0.015110721614990963,233.98181914152767
1.4763592720031737,0.27832813262939454,-431.83726480837566,4,1e-09,rbf,"{'C': 4, 'gamma': 1e-09, 'kernel': 'rbf'}",85,-899.4400945124388,-304.7947010057173,-278.9944150394379,-345.56144266901254,-329.11456717224695,0.10208121764511874,0.018682127853843437,235.20038875803806
1.4982663154602052,0.27190518379211426,-165.80018185593158,8,auto,rbf,"{'C': 8, 'gamma': 'auto', 'kernel': 'rbf'}",44,-390.04132275252374,-99.1481010381377,-84.5605693771787,-126.09792713540124,-128.5386296862888,0.09089895628135695,0.014271993289846073,113.48448046087177
1.596212387084961,0.3046760559082031,-431.937376689982,8,0.1,rbf,"{'C': 8, 'gamma': 0.1, 'kernel': 'rbf'}",87,-896.6983678462761,-303.73964098256135,-279.19833798965294,-347.08701995860304,-331.6901988888266,0.08092643334708582,0.02542115798865795,233.8622160970402
1.6004141807556151,0.3209174156188965,-265.74863385727275,8,0.01,rbf,"{'C': 8, 'gamma': 0.01, 'kernel': 'rbf'}",56,-655.7883651631258,-152.21629282132812,-133.07066476306258,-184.8288191644756,-201.77042537079407,0.040572022291255165,0.020346276189354744,196.761776632779
1.4958621978759765,0.27599310874938965,-89.99327263077917,8,0.001,rbf,"{'C': 8, 'gamma': 0.001, 'kernel': 'rbf'}",27,-136.11124955431137,-75.7199126342818,-69.12618339759568,-94.45244890191921,-74.43021804407958,0.07477924446975703,0.017401189213837143,24.62636977431986
1.4508234500885009,0.3093000888824463,-78.59689760121682,8,0.0001,rbf,"{'C': 8, 'gamma': 0.0001, 'kernel': 'rbf'}",13,-95.14668630306285,-70.08643133868662,-68.72827033393224,-90.73571844089578,-68.24203970265228,0.06945531490238642,0.04040561950102452,11.820786553380907
1.3151816368103026,0.2654087543487549,-81.90068194445158,8,1e-05,rbf,"{'C': 8, 'gamma': 1e-05, 'kernel': 'rbf'}",18,-95.91705144995704,-69.93098954081819,-72.41116483369743,-93.37775741332067,-77.8280454721207,0.27247244142969823,0.06443449436590933,10.75466478191253
0.9464963436126709,0.19032649993896483,-150.30722641452905,8,1e-06,rbf,"{'C': 8, 'gamma': 1e-06, 'kernel': 'rbf'}",43,-286.35579644344875,-100.65771830628182,-110.10413720368389,-135.6998391682032,-118.34590514272926,0.023977251478336722,0.001066914946242244,69.08416860619242
1.0607279300689698,0.21403298377990723,-382.99771402425307,8,1e-07,rbf,"{'C': 8, 'gamma': 1e-07, 'kernel': 'rbf'}",64,-801.9770453709989,-265.65068207536746,-247.81123147745467,-307.49689360756975,-290.9048290108423,0.1747772829066516,0.04929134368339805,210.77480441981078
1.3085262298583984,0.28276658058166504,-426.8669560892476,8,1e-08,rbf,"{'C': 8, 'gamma': 1e-08, 'kernel': 'rbf'}",73,-889.3539149286756,-300.8582126730221,-275.83552612451007,-341.67871885233126,-325.3413203092346,0.19987418402821763,0.049784230286383624,232.63065983990217
1.4132196426391601,0.27984619140625,-431.5746069433043,8,1e-09,rbf,"{'C': 8, 'gamma': 1e-09, 'kernel': 'rbf'}",84,-898.9075250746157,-304.58662291421206,-278.82714495496054,-345.3562636844134,-328.9151139290558,0.059354155409340845,0.007733607200996288,235.0648154435264
1.6577066421508788,0.2960774898529053,-148.4002434871507,16,auto,rbf,"{'C': 16, 'gamma': 'auto', 'kernel': 'rbf'}",42,-326.81034223764954,-94.9671038317646,-80.98126381367182,-119.39741091487554,-119.35630184669468,0.043772634981813066,0.008679758279056435,90.5318159752465
1.5841325759887694,0.30104770660400393,-431.8808055684151,16,0.1,rbf,"{'C': 16, 'gamma': 0.1, 'kernel': 'rbf'}",86,-888.6015835262282,-303.0144260648928,-280.13790847903,-349.88265802966254,-336.51616193963787,0.2239318393484943,0.05246101129319001,229.98739334524646
1.4282229900360108,0.2732380390167236,-235.51029590711437,16,0.01,rbf,"{'C': 16, 'gamma': 0.01, 'kernel': 'rbf'}",54,-563.202644931746,-134.79540868616613,-120.41695361589815,-169.02284546874802,-189.2158395754119,0.2636774810248539,0.06501914220738984,165.86429683233976
1.5051013469696044,0.2920008659362793,-86.41841361898145,16,0.001,rbf,"{'C': 16, 'gamma': 0.001, 'kernel': 'rbf'}",23,-117.58432085900613,-76.3142791982702,-69.52556505464186,-95.23508009272672,-73.3474368430294,0.2146278864165946,0.050774327541324715,17.939560163315477
1.2371039867401123,0.26265826225280764,-76.98981054067579,16,0.0001,rbf,"{'C': 16, 'gamma': 0.0001, 'kernel': 'rbf'}",9,-87.0982321028032,-69.9577878110827,-68.68199652673056,-90.7284017792086,-68.45494017790423,0.2544105285345703,0.05915060126560953,9.820976529638862
1.1253050327301026,0.23148083686828613,-78.47526583103881,16,1e-05,rbf,"{'C': 16, 'gamma': 1e-05, 'kernel': 'rbf'}",12,-88.6796963701804,-68.70777395347035,-70.11606642150862,-91.6392303579536,-73.20560470813827,0.23569019904813476,0.04893747479398235,9.70048748705327
