mean_fit_time,mean_score_time,mean_test_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
1400.393433237076,0.1648789882659912,-704.5452137857437,2,5,auto,poly,"{'degree': 5, 'kernel': 'poly', 'C': 2, 'gamma': 'auto'}",53,-1770.9678620920965,-437.9823054905405,-295.9181723182685,-424.8925689494387,-590.0434541926028,55.17076592773035,0.000678505809572516,542.0177580750485
1408.4656242847443,0.1650074005126953,-706.4133827299717,2,5,0.1,poly,"{'degree': 5, 'kernel': 'poly', 'C': 2, 'gamma': 0.1}",61,-1782.6940614726939,-438.11428729948295,-295.5203219423444,-424.29102618950014,-588.4985025575006,110.43113548783342,0.00131411292287185,546.817884428296
1424.3980561256408,0.1651517391204834,-703.5592659981446,2,5,0.01,poly,"{'degree': 5, 'kernel': 'poly', 'C': 2, 'gamma': 0.01}",49,-1774.4702085623287,-435.06018736606154,-295.7365854077534,-427.88776692761513,-581.7075791445961,193.61596276282214,0.00045957803280307865,543.771257704706
1414.8151044368744,0.1648026943206787,-704.7768482947972,2,5,0.001,poly,"{'degree': 5, 'kernel': 'poly', 'C': 2, 'gamma': 0.001}",57,-1775.587085561062,-436.3739702942178,-294.4431811398826,-425.64657821538793,-588.899699585994,118.97880044466325,0.0009081289329134328,544.1910914577281
5.2119138717651365,0.16523523330688478,-187.80108663513823,2,5,0.0001,poly,"{'degree': 5, 'kernel': 'poly', 'C': 2, 'gamma': 0.0001}",13,-409.8466192084647,-127.28222251656187,-116.99699887313047,-149.70048457652675,-134.57076407614903,1.1280648379813674,0.0019191581587120568,111.68348159927275
1320.680826663971,0.16486067771911622,-1564.2160549960229,2,6,auto,poly,"{'degree': 6, 'kernel': 'poly', 'C': 2, 'gamma': 'auto'}",65,-4532.533379531082,-942.2838341072329,-488.29189212315396,-787.963442568192,-1061.8753504188512,101.3191074322897,0.00037697439318254005,1498.5474003604204
1329.6707295417787,0.1652071952819824,-1573.6331703744675,2,6,0.1,poly,"{'degree': 6, 'kernel': 'poly', 'C': 2, 'gamma': 0.1}",77,-4561.585928781487,-953.1686702414197,-488.8121097919606,-789.8406840176528,-1066.5722870989753,119.65157909583388,0.0004226530122603336,1508.5980681928095
1322.288292837143,0.16570115089416504,-1567.9190982053967,2,6,0.01,poly,"{'degree': 6, 'kernel': 'poly', 'C': 2, 'gamma': 0.01}",69,-4544.8703330379485,-943.0870858591833,-487.5663855729726,-791.5477041672802,-1064.3679516092361,149.84730714654768,0.0008335579028759347,1502.9453397204654
1336.8827982902526,0.16418986320495604,-1568.236098367029,2,6,0.001,poly,"{'degree': 6, 'kernel': 'poly', 'C': 2, 'gamma': 0.001}",73,-4537.354965792166,-948.1680720496399,-486.89776572357323,-789.3038914637458,-1071.3212245664977,116.66921728946689,0.0011826841165925852,1499.4063210151835
25.147637557983398,0.1639799118041992,-284.94528068717875,2,6,0.0001,poly,"{'degree': 6, 'kernel': 'poly', 'C': 2, 'gamma': 0.0001}",29,-711.6548245900904,-192.65109877853982,-135.91855386090648,-175.79950138128274,-207.53335758150476,6.356565346125383,0.0013774211322865831,214.98179128703404
