RUN,EPOCHS,BATCH_SIZE,LR,NEURONS,AUC_TRAIN,AUC_DEV,LOSS_TRAIN,LOSS_DEV,ACCURACY_TRAIN,ACCURACY_DEV
41,200,1024,1e-05,[512; 512],0.8313396405213563,0.7950152492051307,0.4096563,0.44865045,0.8272961,0.80548924
42,200,1024,1e-05,[512; 1024],0.842042144138469,0.809723267999464,0.4002796,0.4307971,0.8317121,0.81336516
43,200,1024,1e-05,[1024; 1024],0.8672536820703958,0.8139324515889208,0.3688741,0.41692677,0.8489587,0.82553697
44,200,1024,3.0000000000000004e-05,[256; 512],0.8749846930575484,0.7877328911487483,0.3619056,0.43648234,0.8504506,0.80835325
45,200,1024,3.0000000000000004e-05,[512; 512],0.8928587730116881,0.8141154149231398,0.33673579,0.44858137,0.86417615,0.823389
46,200,1024,3.0000000000000004e-05,[512; 1024],0.9194681571182596,0.8255378428838145,0.2956891,0.41917768,0.8882855,0.82243437
47,200,1024,3.0000000000000004e-05,[1024; 1024],0.9493200331725883,0.8320478072207583,0.24621455,0.4284892,0.91030616,0.82768494
48,200,1024,0.0001,[256; 512],0.9639267379854464,0.8189871545625481,0.20566233,0.45960814,0.92808974,0.8252983
49,200,1024,0.0001,[512; 512],0.9807953918426037,0.8263818030058926,0.15988803,0.4464578,0.9477233,0.82649165
50,200,1024,0.0001,[512; 1024],0.9969680852643908,0.8057558822139363,0.085911036,0.5534895,0.9783374,0.82696897
51,200,1024,0.0001,[1024; 1024],0.9994107950013088,0.8296448376324538,0.05243588,0.5942912,0.9877663,0.8353222
52,200,1024,0.00030000000000000003,[256; 512],0.9988186825994393,0.8189613461641847,0.05747823,0.58990216,0.9869905,0.82768494
53,200,1024,0.00030000000000000003,[512; 512],0.9996870622060096,0.8275276107176038,0.034317702,0.6591889,0.9886018,0.8312649
54,200,1024,0.00030000000000000003,[512; 1024],0.9986914988932784,0.8282681686958705,0.032877102,0.68704355,0.98949695,0.82601434
55,200,1024,0.00030000000000000003,[1024; 1024],0.9995701738931543,0.8284740858506547,0.028037256,0.6941301,0.99075013,0.8458234
56,200,1024,0.001,[256; 512],0.9988544254453665,0.8103999892384347,0.025251666,0.84450734,0.9910485,0.83818614
57,200,1024,0.001,[512; 512],0.9997311425126936,0.8127545723060802,0.02598451,0.8474598,0.99021304,0.8389022
58,200,1024,0.001,[512; 1024],0.9993144099933945,0.8255386258834603,0.029787699,1.0935649,0.9894372,0.84534603
